AU	Австралия
AT	Австрия
AZ	Азербайджан
AX	Аландские острова
AL	Албания
DZ	Алжир
AI	Ангилья
AO	Ангола
AD	Андорра
AQ	Антарктика
AG	Антигуа и Барбуда
AR	Аргентина
AM	Армения
AW	Аруба
AF	Афганистан
BS	Багамы
BD	Бангладеш
BB	Барбадос
BH	Бахрейн
BY	Беларусь
BZ	Белиз
BE	Бельгия
BJ	Бенин
BM	Бермудские острова
BG	Болгария
BO	Боливия
BA	Босния и Герцеговина
BW	Ботсвана
BR	Бразилия
VG	Британские Виргинские острова
BN	Бруней
BF	Буркина Фасо
BI	Бурунди
BT	Бутан
VU	Вануату
VA	Ватикан
GB	Великобритания
HU	Венгрия
VE	Венесуэла
VI	Виргинские острова
AC	Вознесения остров
VN	Вьетнам
GA	Габон
HT	Гаити
GY	Гайяна
GM	Гамбия
GH	Гана
GP	Гваделупа
GT	Гватемала
GN	Гвинея
GW	Гвинея-Бисау
DE	Германия
GI	Гибралтар
HN	Гондурас
HK	Гонконг
GD	Гренада
GL	Гренландия
GR	Греция
GE	Грузия
GU	Гуам
DK	Дания
DJ	Джибути
DM	Доминика
DO	Доминиканская республика
EG	Египет
ZM	Замбия
ZW	Зимбабве
IL	Израиль
IN	Индия
ID	Индонезия
JO	Иордания
IQ	Ирак
IR	Иран
IE	Ирландия
IS	Исландия
ES	Испания
IT	Италия
YE	Йемен
CV	Кабо-Верде
KZ	Казахстан
KY	Каймановы острова
KH	Камбоджа
CM	Камерун
CA	Канада
QA	Катар
KE	Кения
CY	Кипр
KG	Киргизия
KI	Кирибати
CN	Китай
KP	КНДР
CC	Кокосовые острова
CO	Колумбия
KM	Коморы
CD	Конго (ДР)
CG	Конго (Республика)
KR	Корея Южная
CR	Коста-Рика
CI	Кот Д'Ивуар
CU	Куба
KW	Кувейт
CK	Кука острова
LA	Лаос
LV	Латвия
LS	Лесото
LR	Либерия
LB	Ливан
LY	Ливия
LT	Литва
LI	Лихтенштейн
LU	Люксембург
MU	Маврикий
MR	Мавритания
MG	Мадагаскар
YT	Майотта остров
MO	Макао
MK	Македония
MW	Малави
MY	Малайзия
ML	Мали
MV	Мальдивские острова
MT	Мальта
MA	Марокко
MQ	Мартиника
MH	Маршалловы острова
MX	Мексика
FM	Микронезия
MZ	Мозамбик
MD	Молдавия
MC	Монако
MN	Монголия
MS	Монтсеррат
MM	Мьянма
NA	Намибия
NP	Непал
NE	Нигер
NG	Нигерия
NL	Нидерланды
NI	Никарагуа
NU	Ниуэ, остров
NZ	Новая Зеландия
NC	Новая Каледония
NO	Норвегия
NF	Норфолк, остров
AE	ОАЕ
OM	Оман
PK	Пакистан
PW	Палау
PS	Палестина
PA	Панама
PG	Папуа - Новая Гвинея
PY	Парагвай
PE	Перу
PN	Питкэрн, остров
PL	Польша
PT	Португалия
PR	Пуэрто-Рико
RE	Реюньон
CX	Рождества остров
RU	Россия
RW	Руанда
RO	Румыния
SV	Сальвадор
WS	Самоа
AS	Самоа Американское
SM	Сан Марино
ST	Сан Томе и Принсипе
SA	Саудовская Аравия
SZ	Свазиленд
SH	Святой Елены остров
MP	Северные Марианские острова
SC	Сейшелы
BL	Сен-Бартелеми
MF	Сен-Мартен
PM	Сен-Пьер и Микелон
SN	Сенегал
VC	Сент-Винсент и Гренадины
KN	Сент-Китс и Невис
LC	Сент-Люсия
RS	Сербия
SG	Сингапур
SY	Сирия
SK	Словакия
SI	Словения
SB	Соломоновы Острова
SO	Сомали
SD	Судан
SR	Суринам
US	США
SL	Сьерра-Леоне
TJ	Таджикистан
TH	Таиланд
TW	Тайвань
TZ	Танзания
TC	Теркс и Кайкос
TG	Того
TK	Токелау острова
TO	Тонга острова
TT	Тринидад и Тобаго
TV	Тувалу
TN	Тунис
TM	Туркменистан
TR	Турция
UG	Уганда
UZ	Узбекистан
UA	Украина
WF	Уоллис и Футуна острова
UY	Уругвай
FO	Фарерские острова
FJ	Фиджи
PH	Филиппины
FI	Финляндия
FK	Фолклендские острова
FR	Франция
PF	Французская Полинезия
HM	Херд и Макдональд острова
HR	Хорватия
CF	Центральноафриканская республика
TD	Чад
ME	Черногория
CZ	Чешская Республика
CL	Чили
CH	Швейцария
SE	Швеция
LK	Шри Ланка
EC	Эквадор
GQ	Экваториальная Гвинея
ER	Эритрея
EE	Эстония
ET	Эфиопия
ZA	ЮАР
GS	Южная Георгия и Ю.Сандвичевы о-ва
JM	Ямайка
JP	Япония
